0	1687
1	3475
2	1647
3	1180
4	887
5	759
6	728
7	804
8	1350
9	2486
10	3324
11	2841
12	2844
13	2564
14	2444
15	2537
16	2732
17	2977
18	3189
19	3084
20	3143
21	2917
22	3396
23	4717
24	6446
25	6687
26	7666
27	9791
28	9887
29	7835
30	7257
31	6599
32	6612
33	7151
34	7017
35	7210
36	6776
37	5793
38	5022
39	4673
40	4485
41	4562
42	4535
43	4833
44	4381
45	4103
46	4096
47	4408
48	4691
49	4628
50	3956
51	3473
52	3182
53	2851
54	2862
55	2625
56	2636
57	2478
58	2307
59	2197
60	2045
61	1898
62	1835
63	1766
64	1826
65	1641
66	1660
67	1614
68	1588
69	1605
70	1630
71	1611
72	1540
73	1558
74	1525
75	1478
76	1522
77	1516
78	1414
79	1383
80	1306
81	1288
82	1278
83	1321
84	1308
85	1312
86	1259
87	1186
88	1170
89	1140
90	1172
91	1081
92	1090
93	1108
94	1028
95	1164
96	1232
97	1317
98	1297
99	1265
100	1445
101	1561
102	1479
103	1439
104	1473
105	1567
106	1732
107	1648
108	1746
109	1751
110	1862
111	1811
112	1835
113	1870
114	1942
115	1801
116	2232
117	2353
118	2431
119	2243
120	2345
121	2100
122	1804
123	1799
124	1865
125	1804
126	1771
127	1723
128	1746
129	2289
130	3919
131	4471
132	3601
133	3534
134	3135
135	2712
136	1978
137	1681
138	1770
139	1823
140	1775
141	1742
142	1675
143	1623
144	1667
145	1790
146	1878
147	1891
148	1973
149	2219
150	2201
151	2195
152	2138
153	2067
154	2210
155	2262
156	2354
157	2431
158	2340
159	2465
160	2326
161	2167
162	2106
163	2167
164	2214
165	2169
166	2120
167	2259
168	2284
169	2405
170	2307
171	2388
172	2417
173	2425
174	2391
175	2423
176	2430
177	2644
178	2663
179	2890
180	3081
181	3599
182	3502
183	3540
184	3287
185	3187
186	3230
187	3440
188	3413
189	3363
190	3341
191	3758
192	4132
193	4627
194	4778
195	4739
196	4653
197	4615
198	4902
199	4717
200	4878
201	5214
202	5230
203	5556
204	5269
205	5277
206	5066
207	4730
208	3452
209	2411
210	2173
211	1970
212	2138
213	2281
214	2582
215	2799
216	3247
217	3698
218	3118
219	2441
220	2400
221	1757
222	1333
223	1117
224	955
225	845
226	797
227	747
228	655
229	658
230	697
231	701
232	741
233	614
234	446
235	266
236	220
237	173
238	183
239	144
240	139
241	141
242	116
243	76
244	22
245	15
246	14
247	4
248	2
249	1
250	3
251	2
252	0
253	0
254	0
